Indx,Series reference,Period,Description,Revised,Initially published
K111,2019.09,PPIQ.SQN800000,"All industries excl admin health educati, Inputs Indexes (Level 0)",1167,1164
K112,2019.12,PPIQ.SQN800000,"All industries excl admin health educati, Inputs Indexes (Level 0)",1170,1166
K113,2019.09,PPIQ.SQN800001,"All industries ex admin health edu OOD, Inputs Indexes (Level 0)",1167,1164
K114,2019.12,PPIQ.SQN800001,"All industries ex admin health edu OOD, Inputs Indexes (Level 0)",1170,1166
K115,2019.09,PPIQ.SQN900000,"All industries, Inputs Indexes (Level 0)",1166,1164
K116,2019.12,PPIQ.SQN900000,"All industries, Inputs Indexes (Level 0)",1169,1165
K117,2019.09,PPIQ.SQN900001,"All industries excl OOD, Inputs Indexes (Level 0)",1166,1163
K118,2019.12,PPIQ.SQN900001,"All industries excl OOD, Inputs Indexes (Level 0)",1169,1165
K119,2019.12,PPIQ.SQNAA0000,"Agriculture, Forestry and Fishing, Inputs Indexes (Level 1)",1207,1206
K120,2019.12,PPIQ.SQNAA2000,"Forestry and Logging, Inputs Indexes (Level 2)",1217,1208
K121,2019.12,PPIQ.SQNAA2100,"Forestry and Logging, Inputs Indexes (Level 3)",1217,1208
K122,2019.12,PPIQ.SQNAA211X,"Forestry and Logging, Inputs Indexes (Level 4)",1217,1208
K123,2019.09,PPIQ.SQNCC0000,"Manufacturing, Inputs Indexes (Level 1)",1154,1144
K124,2019.12,PPIQ.SQNCC0000,"Manufacturing, Inputs Indexes (Level 1)",1162,1149
K125,2019.09,PPIQ.SQNCC1000,"Food, Beverage and Tobacco Product Manuf, Inputs Indexes (Level 2)",1203,1184
K126,2019.12,PPIQ.SQNCC1000,"Food, Beverage and Tobacco Product Manuf, Inputs Indexes (Level 2)",1232,1208
K127,2019.09,PPIQ.SQNCC1300,"Dairy Product Manufacturing, Inputs Indexes (Level 3)",1131,1094
K128,2019.12,PPIQ.SQNCC1300,"Dairy Product Manufacturing, Inputs Indexes (Level 3)",1162,1116
K129,2019.09,PPIQ.SQNCC131X,"Dairy Product Manufacturing, Inputs Indexes (Level 4)",1131,1094
K130,2019.12,PPIQ.SQNCC131X,"Dairy Product Manufacturing, Inputs Indexes (Level 4)",1162,1116
K131,2019.12,PPIQ.SQNCC1400,"Fruit, Oil, Cereal and Other Food Produc, Inputs Indexes (Level 3)",1138,1137
K132,2019.12,PPIQ.SQNCC141X,"Fruit, Oil, Cereal and Other Food Product Manufact, Inputs Indexes (Level 4)",1138,1137
K133,2019.12,PPIQ.SQNCC3000,"Wood and Paper Products Manufacturing, Inputs Indexes (Level 2)",1150,1139
K134,2019.12,PPIQ.SQNCC3100,"Wood Product Manufacturing, Inputs Indexes (Level 3)",1179,1166
K135,2019.12,PPIQ.SQNCC311X,"Wood Product Manufacturing, Inputs Indexes (Level 4)",1179,1166
K136,2019.12,PPIQ.SQNCC3200,"Pulp, Paper and Converted Paper Product, Inputs Indexes (Level 3)",1108,1100
K137,2019.12,PPIQ.SQNCC321X,"Pulp, Paper and Converted Paper Product Manufactur, Inputs Indexes (Level 4)",1108,1100
K138,2019.09,PPIQ.SQU900000,"All industries, Outputs Indexes (Level 0)",1179,1178
K139,2019.12,PPIQ.SQU900000,"All industries, Outputs Indexes (Level 0)",1185,1183
K140,2019.09,PPIQ.SQU900001,"All industries excl OOD, Outputs Indexes (Level 0)",1178,1176
K141,2019.12,PPIQ.SQU900001,"All industries excl OOD, Outputs Indexes (Level 0)",1184,1181
K142,2019.09,PPIQ.SQUAA0000,"Agriculture, Forestry and Fishing, Outputs Indexes (Level 1)",1287,1268
K143,2019.12,PPIQ.SQUAA0000,"Agriculture, Forestry and Fishing, Outputs Indexes (Level 1)",1318,1290
K144,2019.09,PPIQ.SQUAA1000,"Agriculture, Outputs Indexes (Level 2)",1298,1273
K145,2019.12,PPIQ.SQUAA1000,"Agriculture, Outputs Indexes (Level 2)",1336,1305
K146,2019.09,PPIQ.SQUAA1100,"Horticulture and Fruit Growing, Outputs Indexes (Level 3)",1251,1250
